content,tone,emotion
"not upto the mark, need to gear up with speed.",Sad,Sad
"Fabulous job, keep up the good work.",Excitement,Excited
"Good work, can be more descriptive with proper images.",Happy,Happy
delivered but took more time than usual.,Sad,Sad
"Extremely good job, the new looks of website are amazing.",Excitement,Excited
escalated so many warnings on late deliverables.,Anger,Angry
"Happy to have you in team, you always give more than 100%.",Excitement,Excited
"Unit test cases were missing, plz follow the development course of action.",Anger,Angry
once again undergo tool training.,Sad,Sad
"Wonderful job, team was invigorated after the training.",Excitement,Excited
Lightening fast job.,Happy,Happy
Well Done.,Happy,Happy
"desing can be improved, refer the original report for more design formats.",Happy,Happy
User feels excited to see such intuitive reports.,Excitement,Excited
"not enough parameters are defined to assess the task for BPO, we need at least 10-12 parameters to assess the user task.",Anger,Angry
Delivered well within time and exactly what was required.,Happy,Happy
"Great, excited to see the fetched tasks in Upraizal.",Excitement,Excited
"what-if analysis is needed to predict the future values, please write a proper model/algorithm to predict the values upto 2025.",Sad,Sad
"wonderful job, good written and technical skills.",Happy,Happy
Amazing to see that you have picked up this database in short time.,Excitement,Excited
"excellent job, client is very happy with the documentation details.",Happy,Happy
"deadline missed, please correct the defective installation, follow proper guide to install.",Anger,Angry
Great job.,Excitement,Excited
Reports are more intuitive than legacy application.,Happy,Happy
"Secirity applied is not as per the standard data security in Jaspersoft , please add more level of security to protect data from other users.",Sad,Sad
amazing report level integration and implimentation. Good Job.,Happy,Happy
"Excellent team work, seems good understanding of Banking domain.",Happy,Happy
"Please implement the feedback from client, make is more intuitive and appealing for end users, apply drill down and hyperlinks as well.",Sad,Sad
well delivered with proper test cases and within timeline.,Excitement,Excited
"Transaction availability report has cosmetic defects, performance trend report shows incorrect data, Status code summary is missing hyperlink.",Anger,Angry
excellent team work and well delivered within time.,Excitement,Excited
"Good Job, please change the traffic light color codes as given by client.",Happy,Happy
"disappointed with the progress, no activity found after basic certification.",Sad,Sad
Please introduce more ways to make these reports more intuitive.,Happy,Happy
"Reports are much more interactive, nice job.",Happy,Happy
"well implimented, good tool knowledge.",Excitement,Excited
Need to add number of users  and parallel processing information.,Happy,Happy
"As per feedback given by client, few reports still has some defects which needs immediate attention, please work with team.",Sad,Sad
"Fabulous job, keep the spirit  high.",Happy,Happy
"Great job, information about BI tool is very well concise and comprehensive as well.",Happy,Happy
"very well managed reports in Power BI dashboards, conveys more information in intuitive way.",Excitement,Excited
"amazing, please check If you can add more ways to make those custom charts more interactive",Happy,Happy
excellent job very well implemented and well delivered within time,Excitement,Excited
missed deadline for deliverables,Anger,Angry
excellent job.,Excitement,Excited
well done.,Happy,Happy
"report does not pass the parameter within dashboard, please correct.",Sad,Sad
this was change request from client.,Happy,Happy
"Good Job, well delivered within timeline.",Happy,Happy
its lagging in performance please check how can we enhance the performance.,Anger,Angry
Please plan your leaves in advance and make sure unplanned leaves are not affecting the project work,Sad,Sad
Expected more from you on this task,Sad,Sad
"Cooking up stories, not at all acceptable",Anger,Angry
"Despite multiple warnings deliverable were delayed, missed deadline twice",Anger,Angry
"Please improve the logic for this task, logic should be short and comprehensive",Sad,Sad
Marvelous Job,Excitement,Excited
"You can do better, put more efforts",Sad,Sad
"Unexpected outcome, amazing job indeed",Excitement,Excited
"Team work is not satisfactory, make sure every team member is contributing equal",Sad,Sad
Please donâ€™t give refutable excuses,Anger,Angry
You are revenue generator resource,Excitement,Excited
"Client is not happy with resources working on project, demands to replace the current resources",Anger,Angry
"Poor presentation and communication skills, work on it",Sad,Sad
"Requirement Document not analysed properly, improve analysis skills",Sad,Sad
Accomplished in record time,Excitement,Excited
Record shows more unproductive hours ,Sad,Sad
"Reports are not formatted as per documents given, please take corrective action on all the report formats",Anger,Angry
Upraizal Website is not loading properly despite the efforts you have put,Anger,Angry
SEO does not seem to be working anymore for Upraizal and its keywords,Anger,Angry
new technoloy yet remarkable job done,Excitement,Excited
Not enough to handle stress and workload ,Sad,Sad
Respect the time of others,Anger,Angry
Show an ability to learn quickly and adapt to new situation,Sad,Sad
Need to answer swift and comprehensive manner,Anger,Angry
Keep the documentation of your work so that others can continue to work in your absense,Anger,Angry
Clever and out-of-the-box thinking to curb the obstacles,Excitement,Excited
Did not receive appropriate support for this task,Sad,Sad
"Seeking innovative solution than just a mere one,  solution lag so much",Anger,Angry
"Develop Continuous improvements methods, adopt new strategies for each task accomplishment",Anger,Angry
Raise red flag before hand to avoid the last minute chaos,Anger,Angry
Getting into an argument with peer is not acceptable,Anger,Angry
Improve the communication skills,Sad,Sad
People management in this task was great,Excitement,Excited
"Build effective professional relationship with peers, team play is key to achieve any task",Sad,Sad
Follow and abide the company culture and inspire others to follow the same,Anger,Angry
Innovative work is expected under adverse conditions,Sad,Sad
"Repetitive work but found same defects again, need to work on feedback analysis and its implementation before you take up the same sort of work again",Anger,Angry
Extremely happy to see the milestones set for overall task,Excitement,Excited
"Loss of work/data due to technical limitations, backup mechanism is in place to put/pull your daily work (versioning control mechanism).",Anger,Angry
Fell short of achieving the goal set in review period,Sad,Sad
Sets measurable goats and strive to achive them,Happy,Happy
Production goal exceeded which was set in review period,Excitement,Excited
"Need strategic plan to achieve any task, work on developing strategic skills specially pertaining to administrative tasks",Sad,Sad
"Never compare yourself with peer, everybody puts different levels of effort in achieving the same task",Anger,Angry
Always on-time in meetings and conferences,Happy,Happy
Respect the time of others by arriving on-time for meetings,Sad,Sad
Production output exceeded by 15%,Excitement,Excited
Shown lateral  thinking and always came up with new solutions for problems,Happy,Happy
Troubleshooter for our problems,Excitement,Excited
"Sticked to traditional ways of Project Management, do some research on new PM methodologies.",Sad,Sad
Maintain cleanliness at work place,Anger,Angry
Lacks the initiative to take up the new tasks,Sad,Sad
Continuously striving to improve on skill set and communication,Happy,Happy
Clearly understand the strength of team members and delegate accordingly,Happy,Happy
Boosts team confidence and invigorate team members,Excitement,Excited
Proactively promote company products and initiatives ,Happy,Happy
Not adhered to company policies,Sad,Sad
Failed at mitigating risk,Anger,Angry
Always seen prepared for the best and the worst,Excitement,Excited
Works effectively with client,Excitement,Excited
Can handle difficult customers with grace,Happy,Happy
Shows keenness towards learning new technology,Happy,Happy
Should be flexible enough to gel with any sort of client,Sad,Sad
Constantly provides support to the entire team,Happy,Happy
Absense during projct crutial time is not acceptable,Anger,Angry
Gives credit and recognition to deserving team members,Excitement,Excited
Implement solution proactively,Happy,Happy
Failed to reward your own team mates for innovative ideas,Anger,Angry
Capable to take higher roles,Excitement,Excited
Please provide timely feedback of your team members,Anger,Angry
your contribution in implementing Upraizal on-premise and eradicating traditional HRMS application is commendable,Excitement,Excited
"Responds quickly to new instructions, situations, methods, and procedures",Happy,Happy
Punctual and adhered to timelines,Happy,Happy
Neither punctual nor works on normal work schedule,Sad,Sad
Negative feedback from client on support received,Anger,Angry
Improved the overall performance compared to last year ,Happy,Happy
less productive when compared to last year performance,Sad,Sad
Need to work on tone of your communication so the listener feels comfortable conversing with you.,Anger,Angry
Workaround mastermind,Excitement,Excited
Above and beyond,Happy,Happy
"Reinventing the wheel, put your efforts wisely",Sad,Sad
No proper follow up on client feedback,Anger,Angry
"Divide your task into milestones, any sort of delay in deliverables is not acceptable",Anger,Angry
Shows good job knowledge,Excitement,Excited
intimate/sexual behavior with co-worker is STRICTLY not allowed,Anger,Angry
Pat on the back,Happy,Happy
Visionary and exemplary work,Excitement,Excited
Identify the problem as quickly as possible,Anger,Angry
Never create an environment that discourage other on empowerment,Anger,Angry
Report unacceptable incidences immediately to the management,Sad,Sad
Shared team resources properly for different projects,Excitement,Excited
Great job of multitasking,Excitement,Excited
Maintain project management charts to track the status pf project,Sad,Sad
Hand-holding for every task is not accpetable,Anger,Angry
Need to build positive relationship with employees or team mates,Sad,Sad
Possess good knowledge of skill set to execute your job,Happy,Happy
No consistent work despite target accomplishment,Sad,Sad
Eagerness to work late hours to complete the task and help achieve overall team performance,Happy,Happy
Hesitant to take up new task,Sad,Sad
"Do not compete with others, but compete with yourself instead.",Anger,Angry
Causing loss in revenue,Anger,Angry
Worked and supported until customer is satisfied,Excitement,Excited
People person,Happy,Happy
"Several shouting incidences with supervisor, negate the yelling",Sad,Sad
Positive attitude have always brought more productivity,Excitement,Excited
"with you, team performance has drastically enhanced",Happy,Happy
"Stop procrastination, it increases the chances of project failure",Sad,Sad
exemplary time management,Excitement,Excited
you were always ready to put yourself in someone elses shoe,Happy,Happy
your contribution and energy in bringing yoga for employees is unmatched,Excitement,Excited
